"Symptom Type","Reporter Comment"
"5 - Quality Issue - Assembly","Missing Literature Pack."
"2 - Quality Issue - Appearance","Upper Steering Weld't has scratch marks._Kitty Cat."
"2 - Quality Issue - Appearance","Hydraulic Pump has oil residue underneath it."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on hardware."
"5 - Quality Issue - Assembly","Hydraulic Fittings are loose with Torque Stripes._Kitty Cat."
"2 - Quality Issue - Appearance","Rear Bumper Assyl is damaged from incorrectly installing hardware."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has dirt, debris, poor rework."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has dirt, debris, poor rework."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has dirt, debris, poor rework."
"5 - Quality Issue - Assembly","Side Broom Flat Wire is not installed."
"5 - Quality Issue - Assembly","Intermediate Cover was not installed."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked or marked incorrectly."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked or marked incorrectly."
"2 - Quality Issue - Appearance"," Pull Rod Assy is incorrectly  installed and has some scratch  "
"5 - Quality Issue - Assembly"," Pull Rod Assy is incorrectly  installed and has some scratch  "
"5 - Quality Issue - Assembly","recovery tank is missing the Debris Basket "
"5 - Quality Issue - Assembly","Seat Switch Harness is installed too tight."
"5 - Quality Issue - Assembly","Front Engine Cover is misaligned to Hopper Cover."
"2 - Quality Issue - Appearance","decal on hopper has bubbles and decals on surface "" B "" are damage  "
"5 - Quality Issue - Assembly","surface "" A "" and surface "" B "" are missing uv marks"
"2 - Quality Issue - Appearance","dirty squeegees surface "" B "" "
"5 - Quality Issue - Assembly","decal  miss placed on steering wheel "
"2 - Quality Issue - Appearance","scratches on seat belt "
"5 - Quality Issue - Assembly","surface "" C "" is missing hopper"
"5 - Quality Issue - Assembly","surface "" C "" missing uv light marks "
"1 - Performance Loss","missing right and left broom guards, and front bumper"
"1 - Performance Loss","missing right and left broom guards, and front bumper"
"1 - Performance Loss","Missing ecoflex bottle"
"1 - Performance Loss","Missing edc cable kit"
"2 - Quality Issue - Appearance","roto-mold surface "" A "" decal has scratch "
"2 - Quality Issue - Appearance","scratches on surface "" A "" "
"2 - Quality Issue - Appearance","defected decals on surface "" B "" "
"2 - Quality Issue - Appearance","defected decals on surface "" B "" "
"5 - Quality Issue - Assembly","haven't clock out machine due to over head guard"
"2 - Quality Issue - Appearance","Roto-mold ""Surface A"" has discoloration and is dirty. Marked with green tape."
"2 - Quality Issue - Appearance","Roto-mold ""Surface A"" has discoloration and is dirty. Marked with green tape."
"5 - Quality Issue - Assembly","Right hardware on recovery tank cover is loose."
"5 - Quality Issue - Assembly","can not be complete due to no overhead guard "
"5 - Quality Issue - Assembly","UV marks missing on hardwares."
"2 - Quality Issue - Appearance","Steering wheel decal is crooked."
"5 - Quality Issue - Assembly","Steering wheel decal is crooked."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has dents, gouges, and scratches."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has dents, gouges, and scratches."
"2 - Quality Issue - Appearance","Logo Decals have air bubbles."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked correctly or not marked at all on hardware."
"5 - Quality Issue - Assembly","water leaking from front bumper "
"2 - Quality Issue - Appearance","missing uv light  marks , has some scratches , bad decals and wrong color for  Bracket-Latch "
"2 - Quality Issue - Appearance","missing uv light  marks , has some scratches , bad decals and wrong color for  Bracket-Latch "
"2 - Quality Issue - Appearance","Inner Hopper, Dump Door, and Flap are not cleaned. EOL most likely skipped this step."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has dents, and pin holes."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has dents, and pin holes."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on a couple of hardware."
"5 - Quality Issue - Assembly","Upper Hopper doesn't have Washer Fluid in it."
"5 - Quality Issue - Assembly","Recovery Basket is not installed."
"5 - Quality Issue - Assembly","Engine Generator is missing a bolt."
"2 - Quality Issue - Appearance","Hopper R/H Hinge Assyl has scrape marks."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has Scratches, scuffs, and pin holes."
"2 - Quality Issue - Appearance","Roto-Mold Surface ""A"" has Scratches, scuffs, and pin holes."
"5 - Quality Issue - Assembly","Can not complete in main 10 no mainbroom"
"5 - Quality Issue - Assembly","Beacon Kit is not installed."
"1 - Performance Loss","UV Light. Fault on the UVGI Harness."
"2 - Quality Issue - Appearance","Coolant residue "
"5 - Quality Issue - Assembly","Missing UV marks "
"2 - Quality Issue - Appearance","Appearance Issue: Air bubble in decal "
"2 - Quality Issue - Appearance","Appearance Issue: Damaged and Paint Chipped"
"5 - Quality Issue - Assembly","Missing Hopper Debris Tray"
"2 - Quality Issue - Appearance","Appearance Issue: Upper Shroud Damaged"
"2 - Quality Issue - Appearance","Missing battery decal"
"2 - Quality Issue - Appearance","No serial number in VF"
"2 - Quality Issue - Appearance","Critical Issue: Hopper cover rod holder is damaged"
"2 - Quality Issue - Appearance","Appearance Issue: Pin Holes on engine cover"
"2 - Quality Issue - Appearance","Rec tank is scratched up"
"5 - Quality Issue - Assembly","Missing Decal"
"5 - Quality Issue - Assembly","Critical Issue: Missing bolt/screw for dump door latch"
"3 - Quality Issue - Supplier","Critical Issue: Hopper cover hitting against latch handle "
"3 - Quality Issue - Supplier","Critical Issue: Hopper cover hitting against latch handle "
"2 - Quality Issue - Appearance","Appearances Issue: Paint Chipping "
"2 - Quality Issue - Appearance","Appearances Issue: Paint Chipping "
"5 - Quality Issue - Assembly","Missing UV marks on circuit panel. Unable to insert photo"
"3 - Quality Issue - Supplier","Critical Issue: Neutral isn't set correctly. Unable to insert photo"
"5 - Quality Issue - Assembly","2nd serial tag was placed incorrectly, a corner was on the weldment being able to come off easily"
"5 - Quality Issue - Assembly","Missing serial # in VF"
"2 - Quality Issue - Appearance","seat has a scratch  on it as it does the safety guard safety guard is missing a part and missing filter "
"5 - Quality Issue - Assembly","seat has a scratch  on it as it does the safety guard safety guard is missing a part and missing filter "
"5 - Quality Issue - Assembly","missing rear squeegee

"
"2 - Quality Issue - Appearance","over head guard has metals balls ,release handle has stain ,recovery tank is missing debris basket and decal damage  "
"5 - Quality Issue - Assembly","No overhead guard (out of stock)"
"5 - Quality Issue - Assembly","missing broom idler "
"2 - Quality Issue - Appearance","Missing UV marks on battery plug."
"5 - Quality Issue - Assembly","Missing UV marks on battery plug."
"2 - Quality Issue - Appearance","Engine cover release handle has stains."
"2 - Quality Issue - Appearance","Over head guard has metal balls."
"2 - Quality Issue - Appearance","Right door main broom decal has creases."
"5 - Quality Issue - Assembly","Right door main broom decal has creases."
"2 - Quality Issue - Appearance","Upper hopper has a gash. "
"2 - Quality Issue - Appearance","Upper hopper has a gash. "
"2 - Quality Issue - Appearance","Solution tank is dirty."
"4 - Quality Issue - Functional","Hopper cover is sqeaking."
"2 - Quality Issue - Appearance","Upper hopper is dirty."
"2 - Quality Issue - Appearance","Upper hopper is dirty."
"5 - Quality Issue - Assembly","Critical Issue: Scrub deck is loose."
"5 - Quality Issue - Assembly","Critical Issue: Scrub deck is loose."
"2 - Quality Issue - Appearance","Prop rod (56509418) does not release/spring forward "
"2 - Quality Issue - Appearance","Pin holes on upper hopper (56509401). Marked w/ green tape."
"2 - Quality Issue - Appearance","Pin holes on recovery tank (56509194). Marked w/ green tape."
"5 - Quality Issue - Assembly","Missing UV marks"
"5 - Quality Issue - Assembly","Missing UV marks"
"2 - Quality Issue - Appearance","Left ecoflex decal still has film over it."
"5 - Quality Issue - Assembly","Missing debris tray."
"1 - Performance Loss","missing side squeegee"
"1 - Performance Loss","missing side squeegee"
"2 - Quality Issue - Appearance","Hopper flap is torn"
"5 - Quality Issue - Assembly","missing zip tie on harness near left side deck"
"4 - Quality Issue - Functional","Loose scrub deck"
"2 - Quality Issue - Appearance","dust seal damage  "
"2 - Quality Issue - Appearance","surface "" A "" has some scratches and pin holes , P.S. look for the green tape it will help to locate the areas that need re work "
"1 - Performance Loss","missing intermediate cover"
"1 - Performance Loss","missing intermediate cover"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch."
"5 - Quality Issue - Assembly","Missing Literature pack "
"4 - Quality Issue - Functional","Added washers behind recovery tank latch."
"3 - Quality Issue - Supplier","Critical Issue: Hopper system is not primed with washer fluid. Unable to complete task. "
"3 - Quality Issue - Supplier","Critical Issue: Mist spray does not function correctly. System is not primed. "
"2 - Quality Issue - Appearance","damage decals  "
"2 - Quality Issue - Appearance","recovery tank is missing the debris basket and have dirty areas "
"5 - Quality Issue - Assembly","recovery tank is missing the debris basket and have dirty areas "
"5 - Quality Issue - Assembly","Critical Issue: Recovery tank latch handle has additional washer, work instruction does not call out for additional  washer"
"5 - Quality Issue - Assembly","no lit pack"
"5 - Quality Issue - Assembly","no lit pack"
"4 - Quality Issue - Functional","added washers behind recovery tank latch."
"1 - Performance Loss","missing intermediate cover"
"1 - Performance Loss","missing intermediate cover"
"5 - Quality Issue - Assembly","door filter chamber weldment not installed properly "
"2 - Quality Issue - Appearance","surface "" A "" is missing uv light , have dirty areas and skin pores "
"2 - Quality Issue - Appearance","surface "" A "" is missing uv light , have dirty areas and skin pores "
"2 - Quality Issue - Appearance","surface "" A "" is missing uv light , have dirty areas and skin pores "
"1 - Performance Loss","missing intermediate cover"
"1 - Performance Loss","missing intermediate cover"
"5 - Quality Issue - Assembly","haven't complete main 10 visual factory due to hopper cover "
"5 - Quality Issue - Assembly","haven't complete main 10 visual factory due to hopper cover "
"5 - Quality Issue - Assembly","haven't done vac fan test yet due to missing cover "
"5 - Quality Issue - Assembly","missing front hopper cover "
"5 - Quality Issue - Assembly","Back Up alarm installed without MO."
"4 - Quality Issue - Functional","Insert on hose is spinning freely."
"5 - Quality Issue - Assembly","Missing UV marks on water deflector (56414164)."
"5 - Quality Issue - Assembly","Missing UV marks on water deflector (56414164)."
"4 - Quality Issue - Functional","surface "" C "" has some leaking "
"2 - Quality Issue - Appearance","surface "" A "" loose hose "
"2 - Quality Issue - Appearance","surface "" A "" dirty squeegee "
"5 - Quality Issue - Assembly","surface "" A "" is missing rear side panel "
"5 - Quality Issue - Assembly","front scrub brush fail/ low rpm read at 383."
"2 - Quality Issue - Appearance"," k560 is missing a book !"
"5 - Quality Issue - Assembly","surface "" B "" loose cable "
"2 - Quality Issue - Appearance","surface "" A "" and "" B "" are missing uv marks "
"5 - Quality Issue - Assembly","big dent on tank where tape is on"
"1 - Performance Loss","missing intermediate cover"
"1 - Performance Loss","missing intermediate cover"
"2 - Quality Issue - Appearance","Example."
"5 - Quality Issue - Assembly","surface "" B "" is missing uv marks and loose cable "
"5 - Quality Issue - Assembly","surface "" B "" is missing uv marks and loose cable "
"2 - Quality Issue - Appearance","surface ""A"" has scratches , dirty and pin holes ps: green tape on areas "
"2 - Quality Issue - Appearance","surface ""A"" has scratches , dirty and pin holes ps: green tape on areas "
"2 - Quality Issue - Appearance","surface ""A"" has scratches , dirty and pin holes ps: green tape on areas "
"5 - Quality Issue - Assembly","Main broom high rpm"
"1 - Performance Loss","No serial number in vf "
"1 - Performance Loss","Faults not cleared"
"2 - Quality Issue - Appearance","Pin holes and gouges."
"2 - Quality Issue - Appearance","Pin holes and gouges."
"2 - Quality Issue - Appearance","Pin holes and gouges."
"2 - Quality Issue - Appearance","Hopper filter needs to be replaced has scratches."
"1 - Performance Loss","Missing 1 ecoflex bottle"
"5 - Quality Issue - Assembly","Right door hinges and tank mount hardware not UV marked."
"5 - Quality Issue - Assembly","Right door hinges and tank mount hardware not UV marked."
"5 - Quality Issue - Assembly","Missing UV marks."
"5 - Quality Issue - Assembly","Missing UV marks."
"2 - Quality Issue - Appearance","Main Broom Decal is incorrectly installed."
"2 - Quality Issue - Appearance","Main Broom Decal is incorrectly installed."
"5 - Quality Issue - Assembly","Both Headlight angles are incorrect."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked properly/at all on hardware."
"5 - Quality Issue - Assembly","Pump support weldment is not touching chassis."
"1 - Performance Loss","missing intermediate cover"
"1 - Performance Loss","missing intermediate cover"
"4 - Quality Issue - Functional","56508089 - Door Filter Chamber is binding."
"5 - Quality Issue - Assembly","Missing literature package"
"1 - Performance Loss","Test filter still installed"
"2 - Quality Issue - Appearance","Roto-Mold ""Surface"" A has scuff marks and dirty"
"2 - Quality Issue - Appearance","Roto-Mold ""Surface"" A has scuff marks and dirty"
"2 - Quality Issue - Appearance","Squeegees are dirty."
"5 - Quality Issue - Assembly","Missing R/H Access Door."
"5 - Quality Issue - Assembly","Missing Literature Packet."
"2 - Quality Issue - Appearance","Surface ""A"" has dirt, pinholes, gouges, etc. "
"2 - Quality Issue - Appearance","Surface ""A"" has dirt, pinholes, gouges, etc. "
"2 - Quality Issue - Appearance","Surface ""A"" has dirt, pinholes, gouges, etc. "
"2 - Quality Issue - Appearance","Engine cover (56508586) is still rubbing against Cab frame (56508022). Please refer to Sajid or Kathy."
"2 - Quality Issue - Appearance","Engine cover (56508586) is still rubbing against Cab frame (56508022). Please refer to Sajid or Kathy."
"2 - Quality Issue - Appearance","Engine cover (56508586) is still rubbing against Cab frame (56508022). Please refer to Sajid or Kathy."
"2 - Quality Issue - Appearance","Engine cover (56508586) is still rubbing against Cab frame (56508022). Please refer to Sajid or Kathy."
"2 - Quality Issue - Appearance","Engine cover (56508586) is still rubbing against Cab frame (56508022). Please refer to Sajid or Kathy."
"2 - Quality Issue - Appearance","Paint chip on seat mount."
"2 - Quality Issue - Appearance","Paint chip on seat mount."
"1 - Performance Loss","missing intermediate cover"
"1 - Performance Loss","missing intermediate cover"
"1 - Performance Loss","Missing 1 Thumb Nut (56370711) and Actuator for Dump door from Sub 3."
"1 - Performance Loss","Missing 1 Thumb Nut (56370711) and Actuator for Dump door from Sub 3."
"5 - Quality Issue - Assembly","Deviation 05090"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","dump door wont open"
"5 - Quality Issue - Assembly","dump door wont open"
"5 - Quality Issue - Assembly","Caster-Squeegee missing cap "
"5 - Quality Issue - Assembly","Trim-Seal: loose , recovery tank "
"2 - Quality Issue - Appearance","Drain Hose Ribbed dirty "
"5 - Quality Issue - Assembly","Impeller Assy missing uv torque stripes."
"2 - Quality Issue - Appearance","Engine cover (56508586) is rubbing against Cab frame (56508022)."
"2 - Quality Issue - Appearance","Engine cover (56508586) is rubbing against Cab frame (56508022)."
"2 - Quality Issue - Appearance","Engine cover (56508586) is rubbing against Cab frame (56508022)."
"2 - Quality Issue - Appearance","Engine cover (56508586) is rubbing against Cab frame (56508022)."
"4 - Quality Issue - Functional","Engine cover (56508586) is rubbing against Cab frame (56508022)."
"2 - Quality Issue - Appearance","Bumper (56508586) has scratches."
"2 - Quality Issue - Appearance","Bumper (56508586) has scratches."
"2 - Quality Issue - Appearance","Damages on cab seat assembly (56508586) and cab frame (56508022)."
"2 - Quality Issue - Appearance","Damages on cab seat assembly (56508586) and cab frame (56508022)."
"5 - Quality Issue - Assembly","back up alarm don't work"
"5 - Quality Issue - Assembly","Missing UV marks."
"5 - Quality Issue - Assembly","Missing UV marks."
"2 - Quality Issue - Appearance","Oil residue under hydraulic pump and fitting."
"2 - Quality Issue - Appearance","Oil residue under hydraulic pump and fitting."
"5 - Quality Issue - Assembly","Knob on cab fan came off."
"1 - Performance Loss","out of the intermediate cover"
"1 - Performance Loss","out of the intermediate cover"
"5 - Quality Issue - Assembly","Missing Option: Switch Kit"
"2 - Quality Issue - Appearance","big scratch where tape is at"
"4 - Quality Issue - Functional","Side broom button does not function."
"2 - Quality Issue - Appearance","Oil residue on rear squeegee."
"2 - Quality Issue - Appearance","Oil residue on rear squeegee."
"4 - Quality Issue - Functional","Side broom does not function."
"2 - Quality Issue - Appearance","Control panel has gap."
"2 - Quality Issue - Appearance","Damages to seat mount underneath."
"2 - Quality Issue - Appearance","Left and right rear bumpers has residue/stains."
"2 - Quality Issue - Appearance","Left and right rear bumpers has residue/stains."
"2 - Quality Issue - Appearance","Side skirt and rear squeegee dirty."
"5 - Quality Issue - Assembly","Missing UV marks."
"5 - Quality Issue - Assembly","Missing UV marks."
"5 - Quality Issue - Assembly","Missing torque seal."
"5 - Quality Issue - Assembly","Missing torque seal."
"2 - Quality Issue - Appearance","Oil residue underneath hydraulic pump and manifold w/ fittings."
"2 - Quality Issue - Appearance","Oil residue underneath hydraulic pump and manifold w/ fittings."
"2 - Quality Issue - Appearance","Decals are dirty."
"5 - Quality Issue - Assembly","right signal light not working"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","cant clock out on visual factor because high rpm on mainbroom"
"5 - Quality Issue - Assembly","mainbroom high rpm"
"2 - Quality Issue - Appearance","Scuff marks on console (56507083)."
"2 - Quality Issue - Appearance","Scuff marks on console (56507083)."
"2 - Quality Issue - Appearance","Pinholes on the console (56507083) right side near left weldment."
"2 - Quality Issue - Appearance","Hopper cover has stains and is dirty."
"2 - Quality Issue - Appearance","Hopper cover has stains and is dirty."
"2 - Quality Issue - Appearance","Hardware missing UV marks. Location: Diesel tank pump and right side hydraulic pump clamp."
"5 - Quality Issue - Assembly","Hardware missing UV marks. Location: Diesel tank pump and right side hydraulic pump clamp."
"2 - Quality Issue - Appearance","Paint chip on hopper weldment."
"2 - Quality Issue - Appearance","Paint chip on hopper weldment."
"2 - Quality Issue - Appearance","Coolant cap is leaking."
"5 - Quality Issue - Assembly","Critical Issue: Unable to clear fault codes due to Active code. Shaker Motor Open"
"2 - Quality Issue - Appearance","Appearance Issue: Discoloration on bumper"
"2 - Quality Issue - Appearance","Appearance Issue: Discoloration on bumper"
"5 - Quality Issue - Assembly","Missing UV marks"
"3 - Quality Issue - Supplier","Critical Issue: Prop Rod does not function correctly"
"2 - Quality Issue - Appearance","Appearance Issue: Paint Chipped"
"2 - Quality Issue - Appearance","Appearance Issue: Paint Chipped"
"5 - Quality Issue - Assembly","Critical Issue: Not install correctly "
"2 - Quality Issue - Appearance","Appearance Issue: Dirty"
"5 - Quality Issue - Assembly","Missing UV marks"
"2 - Quality Issue - Appearance","Appearance Issue: Bubbles inside decal "
"5 - Quality Issue - Assembly","Missing Decal on main broom doors"
"5 - Quality Issue - Assembly","Critical Issue: Hydraulic residue on fitting and the surrounding area"
"5 - Quality Issue - Assembly","Extra: Test equipment  "
"5 - Quality Issue - Assembly","Critical Issue: Rod is rubbing against main harness/ hydraulic hoses when lifting and lowing it. "
"2 - Quality Issue - Appearance","Appearances Issue: Scratches on solution tank"
"5 - Quality Issue - Assembly","Missing bump stop "
"2 - Quality Issue - Appearance","Critical Issue: Hydraulic residue on fitting, gasket, and rotomold. "
"2 - Quality Issue - Appearance","Rear squeegee is strapped too tightly."
"5 - Quality Issue - Assembly","Rear squeegee is strapped too tightly."
"2 - Quality Issue - Appearance","Engine cover is bulging. Kathy asked to be replaced and get her when it has been replaced."
"3 - Quality Issue - Supplier","Engine cover is bulging. Kathy asked to be replaced and get her when it has been replaced."
"2 - Quality Issue - Appearance","Paint chips on the front bumper."
"2 - Quality Issue - Appearance","Paint chips on the front bumper."
"2 - Quality Issue - Appearance","Damages and scuff to lower hopper."
"2 - Quality Issue - Appearance","Damages and scuff to lower hopper."
"2 - Quality Issue - Appearance","Damages and scuff on upper hopper near mist kit."
"2 - Quality Issue - Appearance","Damages and scuff on upper hopper near mist kit."
"5 - Quality Issue - Assembly","Missing UV marks."
"5 - Quality Issue - Assembly","Missing UV marks."
"2 - Quality Issue - Appearance","Dirty side skirt"
"5 - Quality Issue - Assembly","missing shaker motor"
"2 - Quality Issue - Appearance","Hopper filter needs to be replaced."
"2 - Quality Issue - Appearance","Hopper filter needs to be replaced."
"2 - Quality Issue - Appearance","Pinhole on upper hopper."
"2 - Quality Issue - Appearance","Damages and gouges on upper hopper."
"2 - Quality Issue - Appearance","Damages and gouges on upper hopper."
"2 - Quality Issue - Appearance","56107604 - Left SW800 Decal has a bubble."
"5 - Quality Issue - Assembly","56107604 - Left SW800 Decal has a bubble."
"2 - Quality Issue - Appearance","56016365 - Decal, Main Broom installed incorrectly and damaged by screw."
"5 - Quality Issue - Assembly","56016365 - Decal, Main Broom installed incorrectly and damaged by screw."
"5 - Quality Issue - Assembly","Serial tag is installed crooked."
"2 - Quality Issue - Appearance","Oil residue on hopper dump door pump, underneath manifold and fittings."
"5 - Quality Issue - Assembly","Missing UV marks."
"5 - Quality Issue - Assembly","Missing UV marks."
"2 - Quality Issue - Appearance","56507877 - Recovery tank is dirty."
"1 - Performance Loss","Missing broom door decal "
"1 - Performance Loss","Hydraulic oil too low"
"5 - Quality Issue - Assembly","missing shaker motor"
"5 - Quality Issue - Assembly","Hopper Prop Rod does not release itself when lifting the Hopper up. It also will not release all the way when pushed forward."
"2 - Quality Issue - Appearance","Rear Bumper Weldment & Bottom Engine Cover has corrosion spots."
"5 - Quality Issue - Assembly","Hopper System Clip is loose."
"5 - Quality Issue - Assembly","Battery Tray is missing."
"3 - Quality Issue - Supplier","Steering Column was stuck at lowest position. Eventually got it to become normal. Now, the strut won't lock properly in positions."
"2 - Quality Issue - Appearance","Dirty Advance decal."
"2 - Quality Issue - Appearance","Gouges on front floor tank near cup holder."
"2 - Quality Issue - Appearance","Gouges on front floor tank near cup holder."
"2 - Quality Issue - Appearance","Oil reside under hydraulic pump."
"2 - Quality Issue - Appearance","Oil reside under hydraulic pump."
"2 - Quality Issue - Appearance","Oil reside under hydraulic pump."
"2 - Quality Issue - Appearance","Dirty recovery tank and intermediate cover."
"2 - Quality Issue - Appearance","Pin holes; marked with green tape."
"5 - Quality Issue - Assembly","Bolt and washer loose on right skirt bracket weldment."
"5 - Quality Issue - Assembly","Missing UV marks; Engine cover latch and brake spring bolt."
"5 - Quality Issue - Assembly","Missing UV marks; Engine cover latch and brake spring bolt."
"2 - Quality Issue - Appearance","Stain on engine cover; left bottom corner."
"2 - Quality Issue - Appearance","Stain on engine cover; left bottom corner."
"2 - Quality Issue - Appearance","Both side skirt dirty."
"2 - Quality Issue - Appearance","Ball Float is dirty._Kitty Cat."
"5 - Quality Issue - Assembly","Main Broom Decals are missing."
"5 - Quality Issue - Assembly","Main Broom Decals are missing."
"2 - Quality Issue - Appearance","Recovery Tank has FOD."
"2 - Quality Issue - Appearance","Underneath the Hydraulic Pump, Scrub Deck, and underneath the machine; have hydraulic oil residue everywhere."
"2 - Quality Issue - Appearance","Surface ""B"" has dirt & stains."
"2 - Quality Issue - Appearance","Surface ""B"" has dirt & stains."
"5 - Quality Issue - Assembly","UV Torque Stripe are not marked on hardware."
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","Steering wheel decal is crooked."
"4 - Quality Issue - Functional","Upper shroud column (56384012) and lower shroud column (56384012) are rubbing against each other."
"5 - Quality Issue - Assembly","Upper shroud column (56384012) and lower shroud column (56384012) are rubbing against each other."
"4 - Quality Issue - Functional","56384012 - Drain hole insert is spinning."
"1 - Performance Loss","missing litter vac kit"
"1 - Performance Loss","missing litter vac kit"
"5 - Quality Issue - Assembly","Missing UV marks."
"5 - Quality Issue - Assembly","Missing UV marks."
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"2 - Quality Issue - Appearance","Solution tank has dark contrasts."
"2 - Quality Issue - Appearance","Nilfisk SC6500 decal has bubble"
"5 - Quality Issue - Assembly","Missing UV marks"
"5 - Quality Issue - Assembly","Missing UV marks"
"2 - Quality Issue - Appearance","Eco-flex area dirty."
"2 - Quality Issue - Appearance","Eco-flex area dirty."
"2 - Quality Issue - Appearance","Solution tank has debris."
"2 - Quality Issue - Appearance","Hopper filter has scratches."
"2 - Quality Issue - Appearance","Hopper filter has scratches."
"5 - Quality Issue - Assembly","Hopper shaker wires in wrong positions."
"2 - Quality Issue - Appearance","OHG is dirty"
"2 - Quality Issue - Appearance","Inside of hopper dirty."
"2 - Quality Issue - Appearance","Solution tank warped under steering wheel."
"5 - Quality Issue - Assembly","Missing other bottle for Eco-Flex"
"2 - Quality Issue - Appearance","Gouges and pin holes on hopper and solution tank."
"2 - Quality Issue - Appearance","Gouges and pin holes on hopper and solution tank."
"2 - Quality Issue - Appearance","Gouges and pin holes on hopper and solution tank."
"5 - Quality Issue - Assembly","Missing UV marks; left & right hopper side broom motors, LP tank mount, side skirts, seat bracket, hopper fan, and right door brackets & hinges top and bottom."
"5 - Quality Issue - Assembly","L/H Link Assyl is rubbing up against Harness."
"2 - Quality Issue - Appearance","Vac Filter has FOD."
"4 - Quality Issue - Functional","Class 3 Leak from Solution System's Clamp & Hose."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on hardware."
"2 - Quality Issue - Appearance","Upper Steering Weld't has scuff mark."
"5 - Quality Issue - Assembly","missing shaker motor "
"1 - Performance Loss","Faults not cleared "
"5 - Quality Issue - Assembly","vac hose sit too low its touching squeegee spring "
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"2 - Quality Issue - Appearance","There are huge gouge marks inside the interior of the Recovery Tank ""Surface B"" next to the Drain outlet."
"2 - Quality Issue - Appearance","There are huge gouge marks inside the interior of the Recovery Tank ""Surface B"" next to the Drain outlet."
"2 - Quality Issue - Appearance","FOD on Seat Prop Rod."
"5 - Quality Issue - Assembly","Missing ECO-Flex Bottles."
"5 - Quality Issue - Assembly","Missing ECO-Flex Bottles."
"4 - Quality Issue - Functional","Phanthom Objects"
"1 - Performance Loss",
"2 - Quality Issue - Appearance","Surface ""A"" has scratches and dents."
"2 - Quality Issue - Appearance","Scrub Deck Inner Squeegees are dirty."
"2 - Quality Issue - Appearance","Scrub Deck Inner Squeegees are dirty."
"2 - Quality Issue - Appearance","Battery Cover has FOD on top of it."
"2 - Quality Issue - Appearance","Decal has spray paint on it."
"5 - Quality Issue - Assembly","Shaker Motor Bushings are installed too tight."
"5 - Quality Issue - Assembly","Ferrite is installed."
"2 - Quality Issue - Appearance","Hopper Interior is dirty."
"2 - Quality Issue - Appearance","Dump Door Seal is dirty."
"5 - Quality Issue - Assembly","Dump Door Actuator does not fully close. Please use the JIG back at Main 8. "
"5 - Quality Issue - Assembly","missing shaker motor "
"2 - Quality Issue - Appearance","Recovery Tank Drain Hose is dirty."
"2 - Quality Issue - Appearance","Recovery Tank's interior has FOD, and gouge marks."
"2 - Quality Issue - Appearance","Recovery Tank's interior has FOD, and gouge marks."
"2 - Quality Issue - Appearance","Surface ""B"" stains."
"2 - Quality Issue - Appearance","Surface ""B"" stains."
"5 - Quality Issue - Assembly","Machine was not clocked out at EOL before reaching FQC."
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on multiple hardware. Always the same spot._Kitty cat."
"5 - Quality Issue - Assembly","Main Broom Decals are not installed."
"5 - Quality Issue - Assembly","Seat Belt Assyl is missing. Please review MO# and/or BOM Sheet."
"2 - Quality Issue - Appearance","Underneath Hydraulic Pump, Main Broom Motor Fittings, and Drive Motor Fittings; ALL have hydraulic oil residue on them. It's the same spots all the time._Kitty Cat. "
"5 - Quality Issue - Assembly","UV Torque Stripes are not marked on hardware."
"5 - Quality Issue - Assembly","missing front bumper super duty kit
"
"5 - Quality Issue - Assembly","no shaker motor"
"5 - Quality Issue - Assembly","no back up alarm. 
"
"1 - Performance Loss","Missing uvgi cord
"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","Did not clear fault history of 20+"
"5 - Quality Issue - Assembly","US battery in Liberty EU model"
"5 - Quality Issue - Assembly","US battery in Liberty EU model"
"5 - Quality Issue - Assembly","US battery in Liberty EU model"
